rcp_scenario,region,season,year_30yravg,status,percentile,value
8.5,Deerfield,Annual,2055,Projected,10,4.36273421231
8.5,Deerfield,Annual,2055,Projected,25,4.95213501632
8.5,Deerfield,Annual,2055,Projected,50,5.73430592744
8.5,Deerfield,Annual,2055,Projected,75,6.58598048884
8.5,Deerfield,Annual,2055,Projected,90,7.72534148839
8.5,Deerfield,Annual,2075,Projected,10,5.8870018369
8.5,Deerfield,Annual,2075,Projected,25,6.71814145871
8.5,Deerfield,Annual,2075,Projected,50,7.87380446034
8.5,Deerfield,Annual,2075,Projected,75,9.30032195046
8.5,Deerfield,Annual,2075,Projected,90,11.1604147804
8.5,Deerfield,Annual,2090,Projected,10,7.17494415135
8.5,Deerfield,Annual,2090,Projected,25,8.16900921484
8.5,Deerfield,Annual,2090,Projected,50,9.77373007122
8.5,Deerfield,Annual,2090,Projected,75,11.2185034633
8.5,Deerfield,Annual,2090,Projected,90,13.2715743735
N/A,Farmington,Annual,1985,Observed,N/A,44.1356167032
4.5,Farmington,Annual,2035,Projected,10,2.10135342959
4.5,Farmington,Annual,2035,Projected,25,2.49225013699
4.5,Farmington,Annual,2035,Projected,50,2.94522452116
4.5,Farmington,Annual,2035,Projected,75,3.9472670503
4.5,Farmington,Annual,2035,Projected,90,4.32631593167
4.5,Farmington,Annual,2055,Projected,10,2.96002160342
4.5,Farmington,Annual,2055,Projected,25,3.16377248535
4.5,Farmington,Annual,2055,Projected,50,4.27116581331
4.5,Farmington,Annual,2055,Projected,75,5.12886216573
4.5,Farmington,Annual,2055,Projected,90,5.59808006489
4.5,Farmington,Annual,2075,Projected,10,3.19112934052
4.5,Farmington,Annual,2075,Projected,25,3.66090725855
4.5,Farmington,Annual,2075,Projected,50,4.92301555737
4.5,Farmington,Annual,2075,Projected,75,5.92704740583
4.5,Farmington,Annual,2075,Projected,90,6.47693571905
4.5,Farmington,Annual,2090,Projected,10,3.51689649841
4.5,Farmington,Annual,2090,Projected,25,4.19351704961
4.5,Farmington,Annual,2090,Projected,50,5.24213460124
4.5,Farmington,Annual,2090,Projected,75,6.55308593693
4.5,Farmington,Annual,2090,Projected,90,7.79417669603
8.5,Farmington,Annual,2035,Projected,10,2.58579445507
8.5,Farmington,Annual,2035,Projected,25,3.37393079079
8.5,Farmington,Annual,2035,Projected,50,3.78797450596
8.5,Farmington,Annual,2035,Projected,75,4.00532682878
8.5,Farmington,Annual,2035,Projected,90,4.55750679976
8.5,Farmington,Annual,2055,Projected,10,4.33456810367
8.5,Farmington,Annual,2055,Projected,25,4.91067623727
8.5,Farmington,Annual,2055,Projected,50,5.62398771505
8.5,Farmington,Annual,2055,Projected,75,6.38374192836
8.5,Farmington,Annual,2055,Projected,90,7.5352909391
8.5,Farmington,Annual,2075,Projected,10,5.9654835884
8.5,Farmington,Annual,2075,Projected,25,6.48283677705
8.5,Farmington,Annual,2075,Projected,50,7.79651641618
8.5,Farmington,Annual,2075,Projected,75,8.97778737964
8.5,Farmington,Annual,2075,Projected,90,10.8805093329
8.5,Farmington,Annual,2090,Projected,10,7.27953796741
8.5,Farmington,Annual,2090,Projected,25,7.93149046904
8.5,Farmington,Annual,2090,Projected,50,9.65336885094
8.5,Farmington,Annual,2090,Projected,75,11.0114130678
8.5,Farmington,Annual,2090,Projected,90,12.9499938522
N/A,French,Annual,1985,Observed,N/A,47.0691315516
4.5,French,Annual,2035,Projected,10,2.07096866345
4.5,French,Annual,2035,Projected,25,2.49125329251
4.5,French,Annual,2035,Projected,50,2.92124542898
4.5,French,Annual,2035,Projected,75,3.97184393636
4.5,French,Annual,2035,Projected,90,4.24174738523
4.5,French,Annual,2055,Projected,10,2.94734398004
