featureid,huc8,AreaSqKM,impoundArea,agriculture,devel_hi,forest,mean_jul_temp,occ_current,occ_air_2,occ_air_4,occ_air_6,occ_45_2035,occ_45_2055,occ_45_2075,occ_45_2090,occ_85_2035,occ_85_2055,occ_85_2075,occ_85_2090
201479457,01080204,0.861653870213911,0.05148509999999999,3.42822,0,91.8458,19.229840364768958,0.9392649499337327,0.7758804874615227,0.4366083318328025,0.1478333943334482,0.8118105136393408,0.7127438965806553,0.6841164724395253,0.6461202889452582,0.7406371751649895,0.5537715778323107,0.2909481635554137,0.13643719563691983
201479458,01080204,1.8913590202063788,0.0614193,4.95377,0,85.247,20.463864120570594,0.8223811925074931,0.5076462816319264,0.18673154205509546,0.04864371273862131,0.5625095393832362,0.42466668539104957,0.3917141520374043,0.351732185588436,0.4594343582025403,0.2691602003614891,0.10818157833082316,0.04448075746727137
201479459,01070005,1.2398223201689194,0.196933,3.59049,5.83389,54.7357,19.72717303614482,0.6064069263118199,0.30626959905765117,0.11229910117664474,0.034981755666634674,0.3650101702365026,0.26123933294417956,0.2407148473688492,0.21137808116147935,0.29800851866868816,0.17005902076047763,0.07854960590923109,0.038294440348674956
201479461,01090002,0.3624824747511744,0,0,0,0,20.60438520750686,0.530994012652751,0.2506605085469395,0.08994386295701748,0.028372601863669758,0.33336524780170973,0.26690394914227883,0.2371925089179835,0.19210226291394994,0.3093206874588783,0.1775716823455538,0.0885724427720779,0.04824484617238927
201479463,01090001,2.668899124626886,0.125396,4.57069,1.60092,66.34,,,,,,,,,,,,,
201479464,01090001,0.651820543090438,0.108949,1.18379,0,78.5986,20.236495439473146,0.4073751859656935,0.13658050213790357,0.035122946737753034,0.00830707811148857,0.17743839273702067,0.1093510629022196,0.09636274565214953,0.07543800455654939,0.13545427756140355,0.057825328279966164,0.02161903587479961,0.010037949727421981
201479466,01080201,0.9798760205000228,0.0289404,8.30505,0,73.6341,22.504213191433813,0.34806233600840236,0.09780188392122398,0.02153694421335812,0.004449358025090897,0.1278256758861681,0.07254860017436923,0.061836922655469105,0.05325301506865775,0.0850952361777875,0.03482463727609723,0.010228280375345396,0.0035522641953570962
201479468,01070004,1.5428167160942474,0.13208899999999998,7.81649,0.314619,65.5626,20.271619712767677,0.8264029217440911,0.5246228873020096,0.20372023803223235,0.05598928884173091,0.5867278781906273,0.45792767908631726,0.42407780532830125,0.38138758001987516,0.486421215556409,0.29861765212276326,0.13400092963365526,0.06031049855654357
201479470,01080204,1.4600298898019022,0.12731299999999998,7.14888,0.199707,66.9378,20.179461346811358,0.85942370168583615,0.5804973132181214,0.23850720772555478,0.0662002611866132,0.6325537104827436,0.49855140836936573,0.46486232656770154,0.4230544345677112,0.5333757867328457,0.3332547062105325,0.14282436227863504,0.06068851510336247
201479471,01080204,1.0199342375325957,0.09920059999999999,5.2523,0.0945586,76.6304,19.613772921874226,0.9139902607105601,0.7045989156342881,0.34869736680566626,0.10727962115346837,0.7481740415870897,0.6310730302412204,0.598945715492425,0.5574095391537434,0.6630922467419751,0.4613877056585949,0.22106496992381494,0.09866270224114677
201479474,01080204,1.4288084001132122,0.127146,7.19555,0.214592,66.7137,20.134879690479586,0.864605596281449,0.5909288700638707,0.24629552496119322,0.06883379030823485,0.6425075563950557,0.5092660059614507,0.475526408154543,0.4335202221150678,0.5440403065738874,0.34278537792875197,0.14806486324677218,0.06311546393346842
